id,car_make,car_model,car_year,fuel_type,average_consumption
67,Mercury,Villager,2002,3,9
68,Hyundai,Elantra,1999,1,16
69,Mazda,Mazda6 Sport,2006,1,14
70,Ford,Econoline E250,1994,1,15
71,Toyota,Prius Plug-in Hybrid,2012,3,9
72,Dodge,Ram 1500,1996,1,10
73,Infiniti,G,2008,2,15
74,Volkswagen,Golf,1983,3,11
75,Dodge,Daytona,1992,3,8
76,Acura,TL,2010,3,10
77,Mazda,MX-5,1990,3,7
78,BMW,Z4 M,2007,1,15
79,Alfa Romeo,Spider,1992,2,8
80,BMW,530,2004,2,11
81,Volvo,C70,2004,2,11
82,Maserati,Karif,1990,1,12
83,Mitsubishi,Expo,1994,3,15
84,Hyundai,Scoupe,1995,1,14
85,Dodge,Charger,2009,2,14
86,Dodge,Caliber,2010,1,16
87,Mercedes-Benz,SL-Class,1995,2,16
88,Nissan,Maxima,2001,3,9
89,Volkswagen,New Beetle,2010,1,13
90,Audi,A8,1999,3,8
91,Hummer,H1,1996,3,10
92,Subaru,Justy,1988,2,15
93,Volkswagen,New Beetle,2005,2,12
94,Chevrolet,Corvette,1960,3,12
95,Honda,Civic,1999,3,11
96,Isuzu,Rodeo,2002,2,16
97,Volvo,S80,2008,3,7
98,Alfa Romeo,164,1995,1,8
99,Chevrolet,Suburban 1500,1997,3,15
100,Bentley,Continental GTC,2009,3,13
101,Pontiac,GTO,2005,2,12
102,Dodge,Dakota Club,2001,3,7
103,Acura,RSX,2006,3,7
104,Dodge,Avenger,1996,2,14
105,Mitsubishi,Cordia,1988,1,16
106,Chevrolet,Tahoe,2005,2,14
107,Chevrolet,Astro,1992,1,12
108,Ford,Contour,1998,2,14
109,Chevrolet,Corvette,1954,2,11
110,Toyota,Yaris,2010,2,7
111,Lamborghini,Murciélago,2004,2,11
112,Volvo,V40,2001,1,15
113,BMW,7 Series,2000,2,13
114,Porsche,Cayenne,2005,1,11
115,Chrysler,300M,2003,1,11
116,Pontiac,Grand Prix,1989,1,9
117,Chevrolet,Cavalier,2001,2,15
118,Dodge,D250 Club,1992,3,16
119,Mercury,Grand Marquis,1998,3,8
120,Eagle,Vision,1996,2,7
121,BMW,Z4,2010,3,12
122,Volkswagen,Scirocco,1984,1,7
123,Nissan,Pathfinder,2001,1,13
124,Mazda,Mazdaspeed6,2006,3,14
125,Ford,Edge,2007,3,7
126,GMC,Sierra 3500,2004,3,10
127,Austin,Mini Cooper,1961,3,16
128,Kia,Sportage,2002,2,12
129,Mazda,CX-9,2012,2,15
130,Chevrolet,Silverado 2500,2011,2,8
131,Eagle,Vision,1995,2,8
132,Suzuki,Samurai,1993,1,9
133,Mazda,Mazda3,2006,2,16
134,Volkswagen,Golf,1988,1,14
135,Maserati,Spyder,2002,1,9
136,Chevrolet,Impala,1995,2,12
137,Suzuki,XL-7,2005,2,9
138,Volkswagen,Passat,1990,2,14
139,Ford,F150,1993,2,14
140,GMC,Sonoma,2001,2,15
141,Mercedes-Benz,E-Class,1986,3,9
142,Chevrolet,Corvette,1992,2,12
143,Pontiac,GTO,1972,3,14
144,Mitsubishi,Truck,1987,1,8
145,Mitsubishi,Chariot,1986,1,9
146,Volvo,960,1997,1,14
147,Kia,Sedona,2006,2,13
148,Honda,CR-X,1988,3,13
149,Volvo,S80,2000,1,14
150,Lexus,IS,2006,3,10
151,Honda,Pilot,2011,1,9
152,Dodge,Magnum,2005,1,11
153,Austin,Mini Cooper,1961,1,10
154,Ford,F350,2004,1,11
155,Geo,Metro,1997,1,11
156,BMW,7 Series,2009,1,16
157,GMC,Suburban 2500,1993,3,9
158,Lincoln,Navigator L,2007,1,12
159,Maserati,Karif,1989,3,12
160,Mazda,Mazda3,2006,3,14
161,Land Rover,Range Rover,1994,3,9
162,Chrysler,Sebring,2010,2,10
163,Chrysler,Town & Country,2011,1,16
164,Mazda,Millenia,1998,1,7
165,Mercedes-Benz,CLS-Class,2006,2,15
166,Dodge,Ram Van B250,1994,3,14
167,Chrysler,LHS,1997,1,8
168,Mercedes-Benz,SLS AMG,2012,1,8
169,Mazda,Tribute,2011,3,10
170,Volkswagen,Type 2,1991,3,7
171,Hyundai,Accent,2013,3,16
172,Mitsubishi,Cordia,1984,1,9
173,Infiniti,G,2007,2,12
174,Oldsmobile,Cutlass Cruiser,1994,1,7
175,Ford,Bronco,1996,1,13
176,Ford,F-Series,2001,2,15
177,Dodge,Caliber,2008,2,14
178,GMC,Sierra 1500,2010,1,15
179,Aston Martin,DB9,2010,1,14
180,Toyota,4Runner,2009,2,9
181,Saturn,Outlook,2008,2,7
182,Lamborghini,Murciélago,2004,3,15
183,Bentley,Continental Flying Spur,2007,3,15
184,Ferrari,F430,2007,3,8
185,Pontiac,Daewoo Kalos,2006,2,9
186,Mitsubishi,Pajero,2002,1,11
187,Ford,Excursion,2005,2,16
188,Chevrolet,Silverado 1500,2008,1,13
189,Shelby,GT500,1968,3,15
190,Mitsubishi,Galant,2001,1,10
191,Ford,E150,2008,2,7
192,Mazda,Miata MX-5,2012,3,15
193,Honda,Prelude,1992,2,10
194,Mazda,Millenia,2001,3,9
195,Honda,Accord,2009,2,8
196,Infiniti,I,2003,1,7
197,Toyota,Highlander,2010,1,13
198,Acura,NSX,1994,3,9
199,Ford,LTD Crown Victoria,1991,2,15
200,Ford,F250,2008,1,12
201,Dodge,Ram 1500 Club,1999,2,15
202,Toyota,4Runner,2011,2,10
203,Acura,CL,2001,1,14
204,Chevrolet,Suburban,2008,1,12
205,Volkswagen,Golf,1998,1,7
206,Lincoln,Continental,1997,3,9
207,Chevrolet,Avalanche 2500,2006,2,16
208,Infiniti,QX56,2010,1,14
209,Mazda,RX-7,1989,2,11
210,Nissan,Maxima,1996,2,15
211,Porsche,911,1987,3,16
212,Audi,S6,2011,2,13
213,BMW,7 Series,2010,1,8
214,Mitsubishi,Raider,2009,3,13
215,Isuzu,Rodeo Sport,2003,1,9
216,Chevrolet,Express 1500,1997,3,13
217,Buick,Roadmaster,1991,1,16
218,Lamborghini,Countach,1985,3,7
219,Land Rover,Range Rover,2005,3,16
220,Mitsubishi,Pajero,1984,3,16
221,BMW,8 Series,1992,1,12
222,Porsche,Cayman,2012,2,12
223,Toyota,Matrix,2004,2,13
224,Volkswagen,Golf,1990,3,15
225,Buick,Riviera,1989,3,11
226,Mercedes-Benz,300D,1993,1,16
227,Toyota,Tacoma Xtra,1998,2,15
228,Honda,S2000,2008,1,15
229,Acura,TL,2012,3,16
230,Kia,Sportage,2008,3,10
231,Dodge,Durango,2006,2,15
232,Nissan,Sentra,1993,1,11
233,Jaguar,XK,2010,3,7
234,Nissan,Altima,1997,3,11
235,Land Rover,Discovery,1996,3,12
236,BMW,600,1957,3,7
237,Volkswagen,rio,2000,3,13
238,Spyker,C8,2007,1,13
239,Nissan,Maxima,2008,2,10
240,Volkswagen,Golf,1989,3,15
241,Plymouth,Grand Voyager,1995,3,13
242,Infiniti,QX,2001,2,13
243,Plymouth,Voyager,1994,3,11
244,Land Rover,Discovery,1996,2,7
245,Cadillac,Escalade ESV,2007,1,8
246,BMW,6 Series,2012,1,10
247,Mazda,Mazda2,2012,1,15
248,Chevrolet,Aveo,2010,1,11
249,Bentley,Continental,2010,2,16
250,Ferrari,612 Scaglietti,2007,2,9
251,Pontiac,Grand Prix,1979,2,9
252,Buick,Regal,1999,1,14
253,Mercury,Montego,2005,1,15
254,Audi,Q5,2012,2,7
255,Cadillac,Eldorado,1994,1,10
256,Toyota,Celica,1993,1,16
257,Saab,9-5,2011,2,10
258,Dodge,Ram 2500,2008,1,8
259,Chevrolet,SSR,2004,3,8
260,Audi,S4,2002,3,8
261,GMC,Suburban 2500,1996,3,8
262,Audi,S4,2005,1,9
263,Audi,5000S,1985,2,9
264,Mazda,Mazdaspeed6,2007,3,15
265,Chevrolet,Suburban,2007,1,12
266,Lexus,ES,2011,1,14
267,Isuzu,i-350,2006,2,15
268,Eagle,Vision,1993,2,11
269,Lincoln,MKX,2008,2,8
270,Mazda,MX-5,1999,3,13
271,Toyota,Yaris,2009,2,10
272,MINI,Clubman,2011,3,7
273,Nissan,Pathfinder,2011,3,8
274,Chevrolet,Colorado,2005,2,8
275,Mercedes-Benz,R-Class,2010,3,15
276,Mercedes-Benz,SL-Class,1985,2,14
277,Buick,Special,1962,3,12
278,Lincoln,MKT,2010,2,13
279,Mazda,MX-5,2000,3,15
280,Dodge,Spirit,1992,3,12
281,GMC,Yukon,2008,3,16
282,Porsche,911,2006,2,11
283,GMC,Savana 2500,2005,3,7
284,Dodge,Nitro,2008,2,7
285,Scion,xA,2005,1,16
286,Ford,Ranger,2010,2,9
287,Volvo,S80,2012,3,16
288,Lincoln,LS,2004,3,10
289,Mercedes-Benz,R-Class,2010,1,9
290,Chevrolet,S10,1996,2,11
291,Ford,Laser,1984,3,13
292,Maserati,Karif,1990,1,7
293,Toyota,TundraMax,2008,3,7
294,Chevrolet,Lumina,1997,3,7
295,Oldsmobile,Ciera,1994,2,8
296,Land Rover,Defender,1993,1,12
297,Infiniti,QX,1999,1,14
298,Ford,Crown Victoria,1996,3,14
299,Pontiac,G6,2009,2,12
300,Pontiac,Firefly,1990,2,10
301,GMC,1500 Club Coupe,1998,1,9
302,Maserati,Quattroporte,2010,3,11
303,Chevrolet,2500,2000,2,12
304,Toyota,Xtra,1994,1,10
305,BMW,Z4,2010,3,15
306,Jaguar,S-Type,2001,1,12
307,Mitsubishi,GTO,1991,1,13
308,Audi,5000CS Quattro,1986,2,12
309,Honda,Pilot,2010,3,16
310,Honda,Passport,1996,3,8
311,Subaru,Outback,2000,1,9
312,GMC,3500,1998,2,12
313,Pontiac,Firebird Formula,1999,3,10
314,Chevrolet,Suburban 1500,2011,3,13
315,Mitsubishi,Pajero,2000,3,16
316,Dodge,Ram Wagon B150,1992,1,10
317,Audi,A3,2012,1,12
318,Ford,Windstar,1996,2,7
319,Dodge,Stratus,1996,2,12
320,GMC,Rally Wagon G3500,1995,2,11
321,Cadillac,DeVille,2003,3,7
322,Mitsubishi,Lancer Evolution,2005,2,12
323,Pontiac,Torrent,2006,2,9
324,Pontiac,6000,1991,1,11
325,Mercury,Mountaineer,2003,1,8
326,Maserati,GranTurismo,2009,2,15
327,Oldsmobile,Cutlass Cruiser,1994,3,11
328,Porsche,911,2008,3,14
329,Saab,9000,1989,1,9
330,Cadillac,Escalade,2002,3,14
331,Dodge,Neon,1997,2,7
332,Honda,Prelude,1992,1,9
333,Buick,LeSabre,1996,1,10
334,Ford,F450,2008,2,14
335,Cadillac,Escalade ESV,2010,1,11
336,Dodge,Avenger,2010,2,13
337,Suzuki,Daewoo Magnus,2006,1,7
338,Cadillac,Eldorado,2001,2,15
339,Mercury,Capri,1993,1,16
340,Audi,S6,2007,1,11
341,Subaru,Impreza WRX,2010,1,16
342,Saab,900,1993,1,9
343,GMC,Sierra 3500,2011,2,10
344,Buick,Riviera,1997,1,14
345,Hyundai,Excel,1994,3,14
346,Saab,9-3,2011,3,14
347,Toyota,4Runner,2011,3,9
348,Nissan,Sentra,1997,1,9
349,GMC,Envoy,1998,1,8
350,Honda,Odyssey,1999,2,10
351,Cadillac,SRX,2012,3,16
352,Ford,Taurus,1996,3,9
353,Ford,F150,2009,1,13
354,Volkswagen,Golf,1990,1,9
355,Mitsubishi,Outlander,2010,1,8
356,Dodge,Viper,1992,3,10
357,Volkswagen,Touareg 2,2009,2,14
358,Isuzu,Space,1992,2,8
359,Hyundai,Genesis,2012,1,7
360,Ford,Expedition EL,2012,1,12
361,GMC,Sonoma Club Coupe,1998,1,8
362,Hyundai,Santa Fe,2010,1,12
363,Honda,Civic,2005,2,10
364,Ford,Explorer,2007,3,13
365,Chevrolet,TrailBlazer,2003,3,7
366,Volkswagen,Touareg 2,2009,2,7
367,Saab,9-7X,2008,1,8
368,Subaru,Alcyone SVX,1997,3,14
369,Dodge,Challenger,2012,3,14
370,Mitsubishi,Outlander,2005,3,7
371,BMW,5 Series,2011,1,11
372,Suzuki,Forenza,2008,2,7
373,Volkswagen,Fox,1991,1,7
374,Dodge,Grand Caravan,1996,1,13
375,Lexus,CT,2012,1,7
376,Porsche,911,1995,1,14
377,Chevrolet,Camaro,1996,1,10
378,Plymouth,Colt,1993,1,7
379,Volkswagen,Jetta,2003,1,13
380,Lamborghini,Aventador,2012,2,8
381,Dodge,Neon,1997,1,12
382,Dodge,Ram 2500,2007,1,16
383,Ford,F150,2003,2,7
384,Audi,S5,2011,3,11
385,Mitsubishi,L300,1988,2,16
386,Chrysler,Cirrus,1997,1,8
387,Chevrolet,Avalanche 2500,2006,3,10
388,GMC,Acadia,2012,3,11
389,Subaru,Outback,2011,3,16
390,GMC,Suburban 2500,1993,3,16
391,Buick,Lucerne,2007,3,7
392,Mercedes-Benz,SL-Class,1997,3,10
393,Lexus,ES,2000,2,12
394,Mercedes-Benz,C-Class,2000,1,7
395,Suzuki,Swift,1996,3,14
396,Infiniti,I,2000,2,7
397,Volvo,V90,1997,1,16
398,Dodge,Ram 3500,1996,2,8
399,Volvo,S40,2008,1,11
400,Buick,Electra,1990,2,8
401,Ford,F150,1995,2,12
402,Dodge,Caravan,2011,2,9
403,Suzuki,Swift,1999,3,8
404,Suzuki,Reno,2008,1,11
405,Mitsubishi,Precis,1994,2,15
406,Buick,Somerset,1986,3,14
407,Rolls-Royce,Ghost,2012,2,15
408,Volkswagen,Cabriolet,1993,2,14
409,Mazda,929,1995,2,7
410,Subaru,XT,1985,3,9
411,GMC,Yukon,2000,1,9
412,Isuzu,i-370,2008,2,10
413,Mitsubishi,Diamante,1994,3,8
414,Mercury,Mariner,2006,1,7
415,Toyota,Avalon,2005,1,10
416,Subaru,Outback,2012,3,16
417,Honda,Accord,1993,2,11
418,Mazda,Mazda5,2007,1,12
419,Chevrolet,Impala,1995,3,15
420,Buick,LeSabre,1990,3,12
421,Infiniti,QX,2012,3,9
422,Chevrolet,Silverado 2500,2006,1,16
423,Toyota,Corolla,2010,2,7
424,Land Rover,Discovery,2008,3,10
425,Lamborghini,Gallardo,2009,2,13
426,Cadillac,STS,2007,1,7
427,Mazda,Navajo,1993,2,14
428,Mitsubishi,Diamante,2001,1,7
429,Audi,A3,2007,3,10
430,Ford,F250,1993,3,15
431,Ford,Mustang,1997,2,10
432,Honda,S2000,2009,2,12
433,Pontiac,1000,1985,3,12
434,Volvo,C70,2012,1,8
435,Chrysler,300,2005,2,16
436,GMC,Yukon XL 2500,2012,3,8
437,Mercedes-Benz,M-Class,2003,2,15
438,Bentley,Continental GT,2010,3,16
439,Toyota,Sequoia,2008,2,15
440,Audi,RS 4,2008,2,10
441,Mercury,Sable,1992,2,9
442,Ford,Mustang,1971,1,10
443,Kia,Sedona,2004,2,13
444,Acura,TL,2001,1,8
445,Toyota,Land Cruiser,2011,3,14
446,Hyundai,Tucson,2009,1,13
447,Maserati,GranSport,2005,3,7
448,Suzuki,Daewoo Lacetti,2004,2,13
449,Ford,Mustang,1989,3,15
450,Pontiac,1000,1984,1,15
451,Toyota,Land Cruiser,2011,2,7
452,Ford,Econoline E250,1992,3,10
453,MINI,Cooper,2006,2,10
454,Chevrolet,Silverado 1500,2000,1,13
455,Plymouth,Laser,1989,1,10
456,Oldsmobile,Cutlass,1998,2,13
457,Kia,Sportage,2011,1,9
458,Chevrolet,Cobalt,2007,1,16
459,Subaru,Forester,1999,2,13
460,Volkswagen,rio,1998,1,14
461,GMC,Yukon,1998,1,15
462,GMC,Jimmy,1996,2,7
463,Chrysler,Imperial,1993,2,9
464,Mercury,Capri,1984,1,7
465,Lotus,Esprit,1991,3,11
466,Volvo,V40,2000,3,8
467,Volvo,S40,2000,3,13
468,Nissan,Maxima,1997,2,12
469,Merkur,XR4Ti,1985,1,8
470,Porsche,911,2005,1,11
471,Audi,4000s Quattro,1986,2,11
472,Pontiac,Sunbird,1986,3,8
473,Ford,LTD,1986,1,11
474,Mitsubishi,Galant,2006,3,13
475,Land Rover,Discovery Series II,2001,2,8
476,Mitsubishi,Diamante,1996,3,8
477,Mitsubishi,Pajero,1984,2,11
478,Mitsubishi,Mighty Max Macro,1993,1,9
479,Chevrolet,Express 3500,2009,1,9
480,Nissan,Xterra,2006,2,13
481,Ford,Expedition,2006,2,7
482,Ford,Explorer Sport,2000,2,11
483,GMC,Safari,2004,1,10
484,Ram,1500,2012,3,10
485,Toyota,Echo,2003,3,14
486,Mercury,Villager,1993,3,11
487,Mazda,B-Series Plus,2003,2,13
488,GMC,Sierra 1500,2005,1,13
489,Chevrolet,Sportvan G20,1995,3,8
490,Dodge,Neon,1998,1,12
491,GMC,Yukon Denali,2006,3,11
492,Ford,Mustang,1970,2,12
493,Lamborghini,Murciélago,2010,1,12
494,Toyota,Tercel,1994,3,9
495,Mazda,B-Series,2006,3,10
496,Porsche,Cayman,2007,1,9
497,Kia,Rio,2013,2,11
498,Mazda,Miata MX-5,2011,3,8
499,Chevrolet,Tracker,2000,2,7
500,Volkswagen,New Beetle,2012,2,7
501,Audi,S4,2004,1,15
502,Jeep,Cherokee,1992,3,13
503,Ford,F150,2003,2,16
504,Ford,E250,2004,1,9
505,Ford,E150,1984,1,9
506,Ford,Taurus,2002,2,12
507,GMC,Savana 2500,2010,1,15
508,Chevrolet,Venture,1999,3,7
509,Nissan,Frontier,2004,2,8
510,Chrysler,PT Cruiser,2010,1,15
511,Toyota,Tercel,1996,3,13
512,Honda,Prelude,1996,3,13
513,Ford,F-Series,1997,1,7
514,Toyota,T100,1996,3,7
515,Volvo,S90,1997,1,10
516,Mazda,MX-6,1991,1,12
517,Toyota,Celica,1996,3,15
518,Daewoo,Leganza,2002,3,16
519,Nissan,Quest,2002,1,16
520,Ford,Thunderbird,1993,1,11
521,Nissan,Pathfinder,1999,1,14
522,Mercury,Topaz,1990,1,15
523,Pontiac,Bonneville,1984,1,7
524,Oldsmobile,88,1997,1,7
525,Lexus,RX,2003,2,9
526,Lexus,IS F,2010,2,12
527,Nissan,JUKE,2011,2,13
528,Smart,Fortwo,2011,1,9
529,Chevrolet,Express 2500,2009,3,9
530,Lexus,GS,2002,1,15
531,Land Rover,Discovery,2001,1,10
532,Dodge,Neon,2004,3,13
533,Ford,E150,2003,3,16
534,Acura,TL,2007,3,16
535,Nissan,Cube,2009,3,14
536,Jeep,Cherokee,2000,2,10
537,Honda,Prelude,1984,3,8
538,Oldsmobile,Cutlass Supreme,1997,1,12
539,Audi,A4,2011,1,12
540,Ford,Bronco II,1984,1,16
541,Acura,TSX,2007,2,14
542,Ford,LTD Crown Victoria,1988,1,7
543,Pontiac,Grand Prix,2004,2,16
544,Jeep,Cherokee,1993,3,12
545,Chevrolet,Express 1500,2011,1,12
546,Mercedes-Benz,C-Class,1996,1,16
547,Jaguar,XK Series,2003,1,10
548,Ford,Expedition,2000,2,9
549,Volkswagen,rio,1995,1,7
550,Toyota,MR2,1987,3,7
551,Volkswagen,Touareg,2011,1,16
552,Hyundai,Sonata,1999,1,12
553,Chevrolet,Blazer,2001,1,13
554,Toyota,Previa,1995,2,14
555,Dodge,Ram Van B350,1993,1,8
556,Ford,Aerostar,1986,3,9
557,Mercedes-Benz,S-Class,2011,2,10
558,Pontiac,Firefly,1986,3,15
559,Dodge,Stratus,1995,1,13
560,Ford,Mustang,1996,2,8
561,Buick,Century,1986,3,13
562,Acura,RL,2007,1,12
563,Mazda,Miata MX-5,2011,3,7
564,Hyundai,Accent,2001,1,8
565,Volkswagen,Jetta,2008,1,13
566,Mercury,Cougar,1984,2,15
567,Nissan,Sentra,2011,2,7
568,Chevrolet,Corvette,1995,1,14
569,Pontiac,Grand Prix,1999,1,11
570,Toyota,4Runner,1994,1,9
571,Chevrolet,Suburban 1500,1994,3,11
572,BMW,545,2004,1,11
573,Mitsubishi,Lancer Evolution,2004,1,12
574,Toyota,Prius,2005,1,13
575,Suzuki,X-90,1998,2,9
576,Chevrolet,Express 2500,2011,3,11
577,Lexus,IS,2006,2,9
578,Chevrolet,G-Series 2500,1996,1,16
579,Hyundai,Tucson,2010,1,13
580,Chevrolet,G-Series 1500,1996,1,9
581,Mazda,Mazdaspeed 3,2012,3,7
582,Chevrolet,Prizm,2001,2,16
583,Mitsubishi,Pajero,2005,1,10
584,Honda,CR-V,1997,1,16
585,Honda,Accord,1993,1,15
586,Mercury,Sable,2001,1,13
587,Infiniti,M,2006,2,9
588,Bentley,Mulsanne,2011,3,8
589,Nissan,Murano,2011,1,9
590,Mitsubishi,Endeavor,2006,2,7
591,Pontiac,Daewoo Kalos,2006,1,7
592,Suzuki,Forenza,2006,1,8
593,Audi,A8,2001,3,15
594,Dodge,Caravan,2009,1,8
595,Pontiac,Bonneville,1994,1,8
596,Audi,A6,1999,2,12
597,Chevrolet,Corvette,1958,1,9
598,Chevrolet,Beretta,1995,2,14
599,Suzuki,Vitara,1999,3,12
600,Hyundai,Santa Fe,2012,1,9
601,Mazda,CX-7,2010,3,13
602,Ford,F150,2007,1,11
603,Pontiac,Bonneville,1999,1,9
604,Porsche,Carrera GT,2004,1,8
605,GMC,Savana 3500,2005,3,8
606,Buick,Roadmaster,1996,2,15
607,Ford,C-MAX Hybrid,2013,3,8
608,Nissan,Sentra,2005,1,15
609,Oldsmobile,88,1992,2,9
610,Dodge,Ram Van B350,1994,3,14
611,Buick,Park Avenue,2003,3,16
612,Oldsmobile,Bravada,1996,3,8
613,Maybach,62,2008,1,15
614,Chrysler,300M,2004,3,7
615,Chevrolet,Malibu,1998,2,8
616,Toyota,Corolla,2008,1,16
617,Acura,RL,2010,2,7
618,Ford,Focus,2006,2,12
619,Ferrari,458 Italia,2011,2,14
620,Mercedes-Benz,CLS-Class,2008,3,15
621,Chevrolet,Corvette,1998,1,15
622,Land Rover,LR2,2008,3,12
623,Mitsubishi,Galant,2007,3,9
624,Pontiac,Montana,2006,3,14
625,Panoz,Esperante,2006,2,8
626,Pontiac,Bonneville,2005,3,13
627,Volkswagen,Golf,2012,3,8
628,Chrysler,LeBaron,1994,2,9
629,Land Rover,Range Rover,1988,1,9
630,Ford,Ranger,2010,1,11
631,Dodge,Caravan,2012,1,15
632,Infiniti,Q,1993,2,12
633,BMW,3 Series,1997,1,7
634,Plymouth,Voyager,1996,2,15
635,Chevrolet,Silverado 1500,2004,2,14
636,Nissan,Frontier,2010,3,11
637,Subaru,Legacy,2011,3,9
638,Studebaker,Avanti,1964,3,16
639,BMW,5 Series,1992,1,12
640,Scion,xB,2004,1,16
641,Lexus,GS,1995,1,8
642,Chevrolet,Corvette,1966,2,12
643,Chevrolet,Lumina,1995,2,14
644,Chevrolet,Avalanche,2007,3,12
645,Chevrolet,Suburban 1500,2003,2,13
646,Cadillac,XLR,2009,3,7
647,GMC,Rally Wagon 2500,1993,1,11
648,Cadillac,Escalade ESV,2003,2,16
649,Jaguar,XJ Series,1994,1,11
650,Dodge,Ram 1500 Club,1999,1,14
651,Infiniti,G,1992,1,10
652,GMC,3500 Club Coupe,1993,1,8
653,Volkswagen,GTI,1990,3,14
654,Maserati,Quattroporte,1985,3,13
655,Ford,Explorer,2008,1,14
656,Dodge,Grand Caravan,2002,1,10
657,GMC,3500 Club Coupe,1997,3,15
658,Volvo,S60,2008,2,13
659,Chevrolet,Silverado 2500,2006,3,13
660,Chrysler,Town & Country,1997,2,14
661,Chevrolet,Tracker,2004,3,7
662,Mazda,B-Series,2004,3,14
663,Volkswagen,Jetta,1987,2,8
664,Volvo,850,1994,3,12
665,Lotus,Elise,2004,3,7
666,Toyota,Tacoma Xtra,2004,1,10
667,Saturn,Sky,2007,1,7
668,GMC,Safari,1992,2,13
669,Hummer,H2,2007,1,9
670,Mercedes-Benz,M-Class,2006,1,16
671,Lincoln,Navigator,2012,1,14
672,Buick,Estate,1990,1,16
673,Nissan,Sentra,1996,2,15
674,Porsche,Cayman,2008,1,14
675,BMW,1 Series,2012,1,9
676,GMC,Savana,2012,3,11
677,Ford,Ranger,2004,3,14
678,Jeep,Compass,2009,3,16
679,Pontiac,Grand Prix,1975,2,10
680,BMW,8 Series,1993,1,8
681,Chevrolet,Beretta,1995,1,16
682,Chevrolet,Express 2500,2003,1,8
683,Chevrolet,2500,2000,2,16
684,Dodge,Ram 1500,2003,2,12
685,Lexus,IS F,2011,1,12
686,Pontiac,Grand Am,1990,3,8
687,Hyundai,Elantra,1996,2,7
688,Hyundai,Genesis Coupe,2013,2,15
689,Jaguar,S-Type,2006,2,10
690,Honda,Civic,2001,1,12
691,Mercedes-Benz,E-Class,1989,3,8
692,Audi,TT,2001,3,9
693,Mazda,MPV,1990,2,11
694,Mercedes-Benz,M-Class,2006,2,7
695,Nissan,Altima,2012,2,11
696,Hyundai,Elantra,1999,3,14
697,Saab,9-3,2009,3,10
698,Mercedes-Benz,SL-Class,1986,2,8
699,Mitsubishi,Eclipse,2003,3,7
700,Subaru,Legacy,1998,2,9
701,Dodge,Grand Caravan,2010,3,11
702,Buick,Riviera,1979,2,15
703,Honda,Civic,1999,2,7
704,Ford,Escort,1989,1,7
705,BMW,6 Series,2004,1,16
706,Lincoln,Town Car,1998,1,16
707,Volkswagen,Passat,1985,3,8
